50PLUS	6
55+	1
90/Greens	408
A	7
A-SDA	2
AAA	4
ABV	11
AC	8
ACUM	26
AD	27
ADR	32
AFPCD	9
AGALEV	14
AIC	1
AISA	1
ALD	2
AMN	7
AN	374
AND	14
ANEL	76
ANO	140
AONTU	1
AOV	6
AP!	13
APC	3
APNI	2
AS	1
ASH	1
ASz	3
ATAKA	76
Ab	9
AfD	94
AllTogether	1
Alt	14
Amaiur	7
Ap	104
ApS	15
B	4
BBB	25
BBZ	15
BDZ	2
BEAB	19
BK	2
BLD	1
BM365	4
BMD	34
BNG	12
BNS	13
BOSS	1
BPS	3
BSP	203
BSP-BZNS-AS-PKE	125
BSP-Coalition	106
BTI	11
BUZ	1
BZÖ	28
Bf	10
Biancofiore	70
BpF	46
BzH	1
C	11
C-Q	1
CC	25
CD	73
CD&V	115
CDA	445
CDA+S21	2
CDC	8
CDM	26
CDS	14
CDU	1729
CHA	2
CNA	4
CP	347
CPN	6
CSSD	416
CSU	399
CSV	181
CU	28
CUP	2
CVP	29
Choice	67
CiU	102
Compromis–Podemos–EUPV	18
Conservatives	2956
Cs	139
D66	139
DA	71
DBSH	3
DC	208
DCA-NPSI	4
DCP	5
DENK	3
DEUS	15
DF	167
DG	29
DIANA	1
DIKKI	9
DIMAR	36
DJB	16
DL	64
DLP	8
DNS	4
DNZ BiH	5
DOM	1
DP	96
DPA	11
DPA/PDSh	47
DPM	1
DPMS	12
DPS	268
DPSM	1
DPT/TDP	2
DPTM/SDA-IP	1
DS	220
DSB	17
DSP BiH	1
DSS	27
DSS/NS	77
DUI/BDI	106
DUP	59
DeSUS	41
DiL	8
DnA	500
Dveri/DSS	13
DéFI	4
E	3
EA	6
EC	8
ECOLO	56
ECP	38
EE	2
EEE	1
EER	6
EHBildu	13
EK	9
EKRE	26
EL	74
EM	13
EME	7
EPG	1
ER	184
ERC	63
ERL	19
ERSP	10
ESWS	18
EVA	8
EVP	1
EÜRP	6
F	90
FAC	1
FAI/KUANMZ/H/KRH	1
FATE	1
FDI	41
FDP	450
FF	416
FFF	1
FG	341
FI	693
FK	4
FKgP	118
FLF	4
FLI	1
FN	5
FP	405
FPUV	1
FPÖ	404
FdV	56
FiDeSz	42
FiDeSz-MPP	312
FiDeSz-MPSz	368
FiDeSz-MPSz-KDNP	59
ForOurChildren	188
FrP	224
FvD	2
G	1
G17+	19
GA	18
GAP	4
GBai	1
GEC	2
GERB	393
GL	75
GLAS	1
GLEI	2
GLEI-GAP	10
GPEW	4
GPV	9
GROM	1
GRÜNE	144
Girasole	17
Greens	29
H	375
HB	8
HDS	4
HDSS	1
HDSSB	13
HDZ	549
HDZ 1990	5
HDZ BiH	39
HGS	2
HKDU	2
HKS	2
HL-SL	9
HM	3
HND	1
HNS	61
HOME	6
HSD–SMS	14
HSLS	60
HSP	22
HSP AS	3
HSPAS/HCSP	1
HSS	56
HSU	11
HZDS	226
Hrast	3
I	132
I/ERSP	8
IA	6
IC	1
IC2	1
ICHC	2
ICV	1
IDN	4
IDS	30
IL	25
